KeyValue,KeyId,KeyType,KeyDescription,SupportedEditions,SupportedSKU,UserRemarks,RemainingActivations,LastUpdate,LastErrorCode,RowVer
VTC42-BM838-43QHV-84HX6-XJXKV,12345-00142-430-979800-03-1033-20348.0000-3442022,6,Windows Vista EnterpriseN GVLK,EnterpriseN,d4f54950-26f2-4fb4-ba21-ffab16afcade,,-1,2022-12-13 08:02:18.403,0,0x000000000000DF95
VKK3X-68KWM-X2YGT-QR4M6-4BWMV,12345-00142-236-020020-03-1033-20348.0000-3442022,6,Windows Vista Enterprise - GVLK,Enterprise,cfd8ff08-c0d7-452b-9f60-ef5c70c32094,,-1,2022-12-13 08:02:18.400,0,0x000000000000DF94
HMBQG-8H2RH-C77VX-27R82-VMQBT,12345-00142-236-020010-03-1033-20348.0000-3442022,6,Windows Vista Business N - GVLK,BusinessN,2c682dc2-8b68-4f63-a165-ae291d4cf138,,-1,2022-12-13 08:02:18.353,0,0x000000000000DF84
YFKBB-PQJJV-G996G-VWGXY-2V3X8,12345-00142-236-020000-03-1033-20348.0000-3442022,6,Windows Vista Business - GVLK,Business,4f3d1606-3fea-4c01-be3c-8d671c401e3b,,-1,2022-12-13 08:02:18.437,0,0x000000000000DF9F
JCKRF-N37P4-C2D82-9YXRT-4M63B,12345-03760-000-000000-03-1033-20348.0000-3442022,6,Windows Server Essentials 2016 RTM ServerSolution Volume:GVLK,ServerSolution,2b5a1b0f-a5ab-4c54-ac2f-a6d94824a283,,-1,2022-12-13 08:02:18.360,0,0x000000000000DF86
PXN29-GTYYF-88BDK-X3H7M-BBJTW,12345-03758-086-449214-00-1033-20348.0000-3452022,1,Windows Server Essentials 2016 RTM ServerSolution Retail,ServerSolution,2804c327-d727-4813-b230-18c73e11f7cc,,-1,2022-12-13 08:02:44.337,0,0x000000000000E888
G4NMW-8PFBH-DK46V-HM82T-238TW,12345-03758-086-466655-00-1033-20348.0000-3452022,1,Windows Server Essentials 2016 RTM ServerSolution Retail,ServerSolution,2804c327-d727-4813-b230-18c73e11f7cc,,-1,2022-12-13 08:02:34.520,0,0x000000000000E55A
TNC9P-894D9-BBMJC-J6473-T6QC8,12345-03758-086-436450-00-1033-20348.0000-3452022,1,Windows Server Essentials 2016 RTM ServerSolution Retail,ServerSolution,2804c327-d727-4813-b230-18c73e11f7cc,,-1,2022-12-13 08:02:47.533,0,0x000000000000E9D2
76YKF-KNQB2-RB3B6-8RPHF-X2F6W,12345-03758-086-428961-00-1033-20348.0000-3452022,1,Windows Server Essentials 2016 RTM ServerSolution Retail,ServerSolution,2804c327-d727-4813-b230-18c73e11f7cc,,-1,2022-12-13 08:02:27.630,0,0x000000000000E32A
3K8NG-VCGM3-T3JJX-3Q7GV-KHKP8,12345-03758-086-459820-00-1033-20348.0000-3452022,1,Windows Server Essentials 2016 RTM ServerSolution Retail,ServerSolution,2804c327-d727-4813-b230-18c73e11f7cc,,-1,2022-12-13 08:02:25.370,0,0x000000000000E25E
CKXC9-TND8J-YGTJT-MKFD4-KBVXJ,12345-03758-086-435761-00-1033-20348.0000-3452022,1,Windows Server Essentials 2016 RTM ServerSolution Retail,ServerSolution,2804c327-d727-4813-b230-18c73e11f7cc,,-1,2022-12-13 08:02:31.730,0,0x000000000000E495
BN2MW-8RB7Q-6PGGM-W33BD-XHKP8,12345-03758-086-433216-00-1033-20348.0000-3452022,1,Windows Server Essentials 2016 RTM ServerSolution Retail,ServerSolution,2804c327-d727-4813-b230-18c73e11f7cc,,-1,2022-12-13 08:02:30.033,0,0x000000000000E442
FX9JJ-NF9K7-FY4RX-YQ9KH-KHKP8,12345-03758-086-271678-00-1033-20348.0000-3472022,1,Windows Server Essentials 2016 RTM ServerSolution Retail,ServerSolution,2804c327-d727-4813-b230-18c73e11f7cc,,-1,2022-12-13 08:02:32.210,0,0x000000000000E54D
KNC87-3J2TX-XB4WP-VCPJV-M4FWM,12345-02584-000-000001-03-1033-20348.0000-3442022,6,Windows Server Essentials 2012 R2 RTM ServerSolution Volume:GVLK,ServerSolution,21db6ba4-9a7b-4a14-9e29-64a60c59301d,,-1,2022-12-13 08:02:18.363,0,0x000000000000DF88
VDYBN-27WPP-V4HQT-9VMD4-VMK7H,12345-04541-000-000001-03-1033-20348.0000-3442022,6,Windows Server 2021 RTM ServerStandard Volume:GVLK,ServerStandard,9bd77860-9b31-4b7b-96ad-2564017315bf,,-1,2022-12-13 08:02:18.400,0,0x000000000000DF93
G66NT-GHY2V-Y92VV-BFR7P-KW6KY,12345-04536-000-052572-00-1033-20348.0000-3472022,1,Windows Server 2021 RTM ServerStandard Retail,ServerStandard,1ea11e95-b7b5-49f8-b3b8-164805630e84,,-1,2022-12-13 08:02:34.530,0,0x000000000000E55D
8TNHR-FFK27-FYK6J-2HMV6-XQDVB,12345-04536-000-030302-00-1033-20348.0000-3472022,1,Windows Server 2021 RTM ServerStandard Retail,ServerStandard,1ea11e95-b7b5-49f8-b3b8-164805630e84,,-1,2022-12-13 08:02:29.627,0,0x000000000000E3AA
6JGFF-MND2W-DHJRD-CMM97-HXQVB,12345-04536-000-017329-00-1033-20348.0000-3472022,1,Windows Server 2021 RTM ServerStandard Retail,ServerStandard,1ea11e95-b7b5-49f8-b3b8-164805630e84,,-1,2022-12-13 08:02:27.500,0,0x000000000000E2F8
BNBF8-M9W6H-99M9W-7CPTX-YDY3M,12345-04536-000-009304-00-1033-20348.0000-3472022,1,Windows Server 2021 RTM ServerStandard Retail,ServerStandard,1ea11e95-b7b5-49f8-b3b8-164805630e84,,-1,2022-12-13 08:02:30.037,0,0x000000000000E444
42G7N-GT99P-CVT9D-V7Q7V-4C4QM,12345-04536-000-067848-00-1033-20348.0000-3472022,1,Windows Server 2021 RTM ServerStandard Retail,ServerStandard,1ea11e95-b7b5-49f8-b3b8-164805630e84,,-1,2022-12-13 08:02:27.230,0,0x000000000000E291
GKMM4-NV7TD-YKDFM-Q8D39-3RWDM,12345-04536-000-072721-00-1033-20348.0000-3472022,1,Windows Server 2021 RTM ServerStandard Retail,ServerStandard,1ea11e95-b7b5-49f8-b3b8-164805630e84,,-1,2022-12-13 08:02:34.667,0,0x000000000000E58D
FTJQN-PTFCF-4KWB8-2TBYW-DGRQM,12345-04536-000-058895-00-1033-20348.0000-3472022,1,Windows Server 2021 RTM ServerStandard Retail,ServerStandard,1ea11e95-b7b5-49f8-b3b8-164805630e84,,-1,2022-12-13 08:02:32.180,0,0x000000000000E543
3C22H-2NJWH-GTM8Y-RT8YM-B4J9Y,12345-04536-000-007365-00-1033-20348.0000-3452022,1,Windows Server 2021 RTM ServerStandard Retail,ServerStandard,1ea11e95-b7b5-49f8-b3b8-164805630e84,,-1,2022-12-13 08:02:25.323,0,0x000000000000E24E
9FFNJ-DC6X9-76WV6-69KTH-T3DVB,12345-04536-000-058815-00-1033-20348.0000-3452022,1,Windows Server 2021 RTM ServerStandard Retail,ServerStandard,1ea11e95-b7b5-49f8-b3b8-164805630e84,,-1,2022-12-13 08:02:29.777,0,0x000000000000E3DE
8KN7F-HVXVM-G4HH4-J9Q3K-6CTKY,12345-04536-000-017496-00-1033-20348.0000-3452022,1,Windows Server 2021 RTM ServerStandard Retail,ServerStandard,1ea11e95-b7b5-49f8-b3b8-164805630e84,,-1,2022-12-13 08:02:29.540,0,0x000000000000E38D
F6NVX-J4B8K-G299Y-6829Y-HVCXY,12345-04536-000-011953-00-1033-20348.0000-3452022,1,Windows Server 2021 RTM ServerStandard Retail,ServerStandard,1ea11e95-b7b5-49f8-b3b8-164805630e84,,-1,2022-12-13 08:02:32.037,0,0x000000000000E50F
GVCXN-YKGGY-YRRGM-MWWDP-J47HB,12345-04536-000-035271-00-1033-20348.0000-3452022,1,Windows Server 2021 RTM ServerStandard Retail,ServerStandard,1ea11e95-b7b5-49f8-b3b8-164805630e84,,-1,2022-12-13 08:02:34.753,0,0x000000000000E5AF
