KeyDescription,Numbers of vaild keys
MultiPoint Server 2012 RTM ServerMultiPointPremium Volume:GVLK,1
MultiPoint Server 2012 RTM ServerMultiPointStandard Volume:GVLK,1
Win 10 RTM Education Volume:GVLK,1
Win 10 RTM EducationN Volume:GVLK,1
Win 10 RTM Enterprise Volume:GVLK,1
Win 10 RTM EnterpriseG Volume:GVLK,1
Win 10 RTM EnterpriseGN Volume:GVLK,1
Win 10 RTM EnterpriseN Volume:GVLK,1
Win 10 RTM EnterpriseS Volume:GVLK,2
Win 10 RTM EnterpriseSN Volume:GVLK,2
Win 10 RTM Professional Retail,139
Win 10 RTM Professional Volume:GVLK,1
Win 10 RTM ProfessionalEducation Volume:GVLK,1
Win 10 RTM ProfessionalEducationN Volume:GVLK,1
Win 10 RTM ProfessionalN Volume:GVLK,1
Win 10 RTM ProfessionalWorkstation Volume:GVLK,1
Win 10 RTM ProfessionalWorkstationN Volume:GVLK,1
Win 8 RTM Core Retail,2
Win 8 RTM Core Volume:GVLK,1
Win 8 RTM CoreCountrySpecific Volume:GVLK,1
Win 8 RTM CoreN Volume:GVLK,1
Win 8 RTM CoreSingleLanguage OEM:DM,1
Win 8 RTM CoreSingleLanguage OEM:NONSLP,3
Win 8 RTM CoreSingleLanguage Volume:GVLK,1
Win 8 RTM Enterprise Volume:GVLK,1
Win 8 RTM Enterprise;EnterpriseN;Professional;ProfessionalN Volume:CSVLK,1
Win 8 RTM EnterpriseN Volume:GVLK,1
Win 8 RTM Professional OEM:DM,27
Win 8 RTM Professional OEM:NONSLP,1
Win 8 RTM Professional Retail,13
Win 8 RTM Professional Volume:GVLK,1
Win 8 RTM Professional;ProfessionalN;Enterprise;EnterpriseN Volume:MAK,1
Win 8 RTM ProfessionalN Retail,3
Win 8 RTM ProfessionalN Volume:GVLK,1
Win 8.1 RTM Core OEM:DM,1
Win 8.1 RTM Core Retail,8
Win 8.1 RTM CoreCountrySpecific OEM:DM,1
Win 8.1 RTM Enterprise Volume:GVLK,1
Win 8.1 RTM EnterpriseN Volume:GVLK,1
Win 8.1 RTM Professional OEM:DM,36
Win 8.1 RTM Professional OEM:NONSLP,28
Win 8.1 RTM Professional Retail,379
Win 8.1 RTM Professional Volume:GVLK,1
Win 8.1 RTM ProfessionalN Retail,7
Win 8.1 RTM ProfessionalN Volume:GVLK,1
Windows 7 All Volume Editions Volume:MAK,3
Windows 7 Enterprise Volume:GVLK,1
Windows 7 EnterpriseE Volume:GVLK,1
Windows 7 EnterpriseN Volume:GVLK,1
Windows 7 Professional Volume:GVLK,1
Windows 7 ProfessionalE Volume:GVLK,1
Windows 7 ProfessionalN Volume:GVLK,1
Windows Embedded Industry 8.1 RTM EmbeddedIndustry Retail,78
Windows Server 12 R2 RTM ServerDatacenter Volume:GVLK,1
Windows Server 12 R2 RTM ServerStandard Volume:GVLK,1
Windows Server 2012 RTM ServerDatacenter Volume:GVLK,1
Windows Server 2012 RTM ServerStandard Volume:GVLK,1
Windows Server 2016 RTM ServerDatacenter Retail,70
Windows Server 2016 RTM ServerDatacenter Volume:GVLK,1
Windows Server 2016 RTM ServerStandard Retail,6
Windows Server 2016 RTM ServerStandard Volume:GVLK,1
Windows Server 2019 RTM AzureStackHCIAddOn Retail,100
Windows Server 2021 RTM ServerDatacenter Volume:GVLK,1
Windows Server 2021 RTM ServerDatacenter;AzureStackHCIAddOn2021 Retail,343
Windows Server 2021 RTM ServerStandard Retail,335
Windows Server 2021 RTM ServerStandard Volume:GVLK,1
Windows Server Essentials 2012 R2 RTM ServerSolution Volume:GVLK,1
Windows Server Essentials 2016 RTM ServerSolution Retail,8
Windows Server Essentials 2016 RTM ServerSolution Volume:GVLK,1
Windows Vista Business - GVLK,1
Windows Vista Business N - GVLK,1
Windows Vista Enterprise - GVLK,1
Windows Vista EnterpriseN GVLK,1
