KeyValue,KeyId,KeyType,KeyDescription,SupportedEditions,SupportedSKU,UserRemarks,RemainingActivations,LastUpdate,LastErrorCode,RowVer
XNH6W-2V9GX-RGJ4K-Y8X6F-QGJ2G,12345-01820-000-000001-03-1033-20348.0000-3442022,6,MultiPoint Server 2012 RTM ServerMultiPointPremium Volume:GVLK,ServerMultiPointPremium,95fd1c83-7df5-494a-be8b-1300e1c9d1cd,,-1,2022-12-11 15:41:07.500,0,0x00000000000045C2
HM7DN-YVMH3-46JC3-XYTG7-CYQJJ,12345-01814-000-000001-03-1033-20348.0000-3442022,6,MultiPoint Server 2012 RTM ServerMultiPointStandard Volume:GVLK,ServerMultiPointStandard,7d5486c7-e120-4771-b7f1-7b56c6d3170c,,-1,2022-12-11 15:41:07.503,0,0x00000000000045C3
NW6C2-QMPVW-D7KKK-3GKT6-VCFB2,12345-03281-000-000001-03-1033-20348.0000-3442022,6,Win 10 RTM Education Volume:GVLK,Education,e0c42288-980c-4788-a014-c080d2e1926e,,-1,2022-12-11 15:41:07.503,0,0x00000000000045C4
2WH4N-8QGBV-H22JP-CT43Q-MDWWJ,12345-03286-000-000001-03-1033-20348.0000-3442022,6,Win 10 RTM EducationN Volume:GVLK,EducationN,3c102355-d027-42c6-ad23-2e7ef8a02585,,-1,2022-12-11 15:41:07.507,0,0x00000000000045C5
NPPR9-FWDCX-D2C8J-H872K-2YT43,12345-03290-000-000003-03-1033-20348.0000-3442022,6,Win 10 RTM Enterprise Volume:GVLK,Enterprise,73111121-5638-40f6-bc11-f1d7b0d64300,,-1,2022-12-11 15:41:07.507,0,0x00000000000045C6
YYVX9-NTFWV-6MDM3-9PT4T-4M68B,12345-03856-000-000000-03-1033-20348.0000-3442022,6,Win 10 RTM EnterpriseG Volume:GVLK,EnterpriseG,e0b2d383-d112-413f-8a80-97f373a5820c,,-1,2022-12-11 15:41:07.510,0,0x00000000000045C7
44RPN-FTY23-9VTTB-MP9BX-T84FV,12345-03861-000-000000-03-1033-20348.0000-3442022,6,Win 10 RTM EnterpriseGN Volume:GVLK,EnterpriseGN,e38454fb-41a4-4f59-a5dc-25080e354730,,-1,2022-12-11 15:41:07.510,0,0x00000000000045C8
DPH2V-TTNVB-4X9Q3-TJR4H-KHJW4,12345-03299-000-000001-03-1033-20348.0000-3442022,6,Win 10 RTM EnterpriseN Volume:GVLK,EnterpriseN,e272e3e2-732f-4c65-a8f0-484747d0d947,,-1,2022-12-11 15:41:07.513,0,0x00000000000045C9
DCPHK-NFMTC-H88MJ-PFHPY-QJ4BJ,12345-03782-000-000003-03-1033-20348.0000-3442022,6,Win 10 RTM EnterpriseS Volume:GVLK,EnterpriseS,2d5a5a60-3040-48bf-beb0-fcd770c20ce0,,-1,2022-12-11 15:41:07.517,0,0x00000000000045CA
M7XTQ-FN8P6-TTKYV-9D4CC-J462D,12345-04250-000-000002-03-1033-20348.0000-3442022,6,Win 10 RTM EnterpriseS Volume:GVLK,EnterpriseS,32d2fab3-e4a8-42c2-923b-4bf4fd13e6ee,,-1,2022-12-11 15:41:07.517,0,0x00000000000045CB
