KeyValue,KeyId,KeyType,KeyDescription,SupportedEditions,SupportedSKU,UserRemarks,RemainingActivations,LastUpdate,LastErrorCode,RowVer
XNH6W-2V9GX-RGJ4K-Y8X6F-QGJ2G,12345-01820-000-000001-03-1033-20348.0000-0062023,6,MultiPoint Server 2012 RTM ServerMultiPointPremium Volume:GVLK,ServerMultiPointPremium,95fd1c83-7df5-494a-be8b-1300e1c9d1cd,,-1,NULL,0,0x00000000000010DE
HM7DN-YVMH3-46JC3-XYTG7-CYQJJ,12345-01814-000-000001-03-1033-20348.0000-0062023,6,MultiPoint Server 2012 RTM ServerMultiPointStandard Volume:GVLK,ServerMultiPointStandard,7d5486c7-e120-4771-b7f1-7b56c6d3170c,,-1,NULL,0,0x0000000000000C89
736RG-XDKJK-V34PF-BHK87-J6X3K,12345-00168-001-000160-03-1033-20348.0000-0062023,6,Multipoint Server Volume:GVLK,ServerEmbeddedSolution,f772515c-0e87-48d5-a676-e6962c3e1195,,-1,NULL,0,0x000000000000087C
NG2JY-H4JBT-HQXYP-78QH9-4JM2D,12345-01946-000-000000-03-1033-20348.0000-0062023,6,Office15_AccessVL_KMS_Client,AccessVolume,6ee7622c-18d8-4005-9fb7-92db644a279b,,-1,NULL,0,0x0000000000000C68
DJBH8-RGN7Q-836KD-DMP3M-DM9MF,12345-01155-001-000020-03-1033-20348.0000-0062023,6,Office15_Alpha_AccessVL_KMS_Client,Alpha_AccessVolume,44b538e2-fb34-4732-81e4-644c17d2e746,,-1,NULL,0,0x0000000000000D78
Q3BNP-3WXDT-GG8HF-24KMW-HMDBK,12345-01159-001-000040-03-1033-20348.0000-0062023,6,Office15_Alpha_ExcelVL_KMS_Client,Alpha_ExcelVolume,9373bfa0-97b3-4587-ab73-30934461d55c,,-1,NULL,0,0x0000000000000F05
WVCGG-NK4FG-7XKXM-BD4WF-3C624,12345-01195-001-000150-03-1033-20348.0000-0062023,6,Office15_Alpha_GrooveVL_KMS_Client,Alpha_GrooveVolume,aa286eb4-556f-4eeb-967c-c1b771b7673e,,-1,NULL,0,0x0000000000000AB8
7KPJJ-N8TT7-CK3KR-QTV98-YPVXQ,12345-01202-001-000170-03-1033-20348.0000-0062023,6,Office15_Alpha_InfoPathVL_KMS_Client,Alpha_InfoPathVolume,7ccc8256-fbaa-49c6-b2a9-f5afb4257cd2,,-1,NULL,0,0x0000000000000836
XNVD3-RYC7T-7R6BT-WX6CF-8BYH7,12345-01165-001-000060-03-1033-20348.0000-0062023,6,Office15_Alpha_LyncVL_KMS_Client,Alpha_LyncVolume,c53dfe17-cc00-4967-b188-a088a965494d,,-1,NULL,0,0x0000000000000B1D
GCGCN-6FJRM-TR9Q3-BGMWJ-78KQV,12345-01213-001-000220-03-1033-20348.0000-0062023,6,Office15_Alpha_MondoVL_KMS_Client,Alpha_MondoVolume,2816a87d-e1ed-4097-b311-e2341c57b179,,-1,NULL,0,0x0000000000000A2F
VYNYX-8GPBC-7FQMD-D6B7B-7MDFD,12345-01226-001-000250-03-1033-20348.0000-0062023,6,Office15_Alpha_OneNoteVL_KMS_Client,Alpha_OneNoteVolume,67c0f908-184f-4f64-8250-12db797ab3c3,,-1,NULL,0,0x00000000000010DF
X2KNB-FRRG2-WXDPH-739DM-DM9RH,12345-01229-001-000260-03-1033-20348.0000-0062023,6,Office15_Alpha_OutlookVL_KMS_Client,Alpha_OutlookVolume,7bce4e7a-dd80-4682-98fa-f993725803d2,,-1,NULL,0,0x0000000000000833
B8CT8-BTNFQ-XQXBK-BFWV8-HMDFQ,12345-01234-001-000270-03-1033-20348.0000-0062023,6,Office15_Alpha_PowerPointVL_KMS_Client,Alpha_PowerPointVolume,1ec10c0a-54f6-453e-b85a-6fa1bbfea9b7,,-1,NULL,0,0x0000000000000D0C
NFKVM-DVG7F-TYWYR-3RPHY-F872K,12345-01247-001-000320-03-1033-20348.0000-0062023,6,Office15_Alpha_ProjectProVL_KMS_Client,Alpha_ProjectProVolume,3cfe50a9-0e03-4b29-9754-9f193f07b71f,,-1,NULL,0,0x0000000000000B3F
N89QF-GGB8J-BKD28-C4V28-W4XTK,12345-01255-001-000340-03-1033-20348.0000-0062023,6,Office15_Alpha_ProjectStdVL_KMS_Client,Alpha_ProjectStdVolume,39e49e57-ae68-4ee3-b098-26480df3da96,,-1,NULL,0,0x0000000000000F61
