KeyDescription,List vaild keys
Win 10 RTM Professional Retail,429
Win 8.1 RTM Professional Retail,284
Windows Server 2021 RTM ServerDatacenter;AzureStackHCIAddOn2021 Retail,257
Windows Server 2021 RTM ServerStandard Retail,181
Windows Server 2019 RTM AzureStackHCIAddOn Retail,86
Win 10 RTM Core OEM:DM,85
Windows Embedded Industry 8.1 RTM EmbeddedIndustry Retail,78
Win 10 RTM Professional OEM:DM,71
Windows Server 2016 RTM ServerDatacenter Retail,70
Office19_ProPlus2019MSDNR_Retail,51
Office16_ProPlusMSDNR_Retail,49
Win 10 RTM Professional OEM:NONSLP,40
Office15_ProPlusMSDNR_Retail,35
Win 10 RTM Core OEM:NONSLP,29
Win 10 RTM Core Retail,29
Office21_Access2021R_Retail,29
Win 8.1 RTM Professional OEM:NONSLP,28
Win 10 RTM CoreSingleLanguage OEM:DM,27
Office21_ProjectPro2021R_Retail,24
Office21_VisioPro2021R_Retail,22
Office15_ProjectProR_Retail,18
Office15_VisioProR_Retail,18
Win 8 RTM Professional OEM:DM,16
Win 8 RTM Professional Retail,13
Win 8.1 RTM Professional OEM:DM,11
Office19_VisioPro2019R_Retail,11
Office19_ProPlus2019R_Retail,9
Office15_ProPlusR_Retail,9
Win 8.1 RTM Core Retail,8
Windows Server Essentials 2016 RTM ServerSolution Retail,8
Win 8.1 RTM ProfessionalN Retail,7
Office19_ProjectPro2019R_Retail,7
Win 10 RTM Enterprise Volume:MAK,7
Office16_ProPlusR_Retail,6
Office15_HomeStudentR_Retail,6
Win 10 RTM Professional Volume:MAK,6
Windows Server 2016 RTM ServerStandard Retail,6
Office15_HomeStudentR_OEM_Perp,4
Windows 7 SP1 Professional Retail,4
Win 10 RTM CoreCountrySpecific OEM:DM,4
Win 8 RTM CoreSingleLanguage OEM:NONSLP,3
Win 8 RTM ProfessionalN Retail,3
Win 8 RTM Core Retail,2
Win 10 RTM EnterpriseSN Volume:GVLK,2
Win 10 RTM EnterpriseS Volume:GVLK,2
Office21_ProPlus2021MSDNR_Retail,2
RTM_Standard_MAK,2
Office15_HomeBusinessR_OEM_Perp,2
Office15_HomeBusinessR_Retail,1
Office15_ProjectProVL_KMS_Client,1
Office15_ProjectStdVL_KMS_Client,1
Office15_ProPlusVL_KMS_Client,1
Office15_PublisherVL_KMS_Client,1
Office15_StandardVL_KMS_Client,1
Office15_InfoPathVL_KMS_Client,1
Office15_LyncVL_KMS_Client,1
Office15_MondoVL_KMS_Client,1
