KeyValue,KeyId,KeyType,KeyDescription,SupportedEditions,SupportedSKU,UserRemarks,RemainingActivations,LastUpdate,LastErrorCode,RowVer
JBGD4-3JNG7-JWWGV-CR6TP-DC62Q,12345-01186-001-000120-03-1033-20348.0000-0202023,6,Office15_Alpha_WordVL_KMS_Client,Alpha_WordVolume,DE9C7EB6-5A85-420D-9703-FFF11BDD4D43,,-1,NULL,0,0x000000000000EE25
VTC42-BM838-43QHV-84HX6-XJXKV,12345-00142-430-979800-03-1033-20348.0000-0062023,6,Windows Vista EnterpriseN GVLK,EnterpriseN,D4F54950-26F2-4FB4-BA21-FFAB16AFCADE,,-1,NULL,0,0x000000000000EE7B
QPN8Q-BJBTJ-334K3-93TGY-2PMBT,12345-02060-000-000000-03-1033-20348.0000-0202023,6,Office15_OutlookVL_KMS_Client,OutlookVolume,771C3AFA-50C5-443F-B151-FF2546D863A0,,-1,NULL,0,0x000000000000EE5B
Q4Y4M-RHWJM-PY37F-MTKWH-D3XHX,12345-00056-001-000000-03-1033-20348.0000-0202023,6,RTM_OneNote_KMS_Client,OneNoteVL,AB586F5C-5256-4632-962F-FEFD8B49E6F4,,-1,NULL,0,0x000000000000EE56
GJCWM-NT39H-6W82W-QVCHT-MKMMY,12345-03280-008-761043-00-1033-20348.0000-0202023,1,Win 10 RTM Education Retail,Education,E558417A-5123-4F6F-91E7-385C1C7CA9D4,,-1,NULL,0,0x0000000000010439
WNRFP-CXTG8-D6YRC-V9VR3-RJRBY,12345-03280-010-306927-00-1033-20348.0000-0202023,1,Win 10 RTM Education Retail,Education,E558417A-5123-4F6F-91E7-385C1C7CA9D4,,-1,NULL,0,0x00000000000115AB
MXG7Y-YN2PG-CKQ6F-BHG72-7CFBY,12345-03280-010-338851-00-1033-20348.0000-0202023,1,Win 10 RTM Education Retail,Education,E558417A-5123-4F6F-91E7-385C1C7CA9D4,,-1,NULL,0,0x0000000000010A39
2N8RX-PY492-6P7PJ-9Y2DX-WTYMY,12345-03280-080-097241-00-1033-20348.0000-0202023,1,Win 10 RTM Education Retail,Education,E558417A-5123-4F6F-91E7-385C1C7CA9D4,,-1,NULL,0,0x000000000000F5F5
67NTW-GWJT4-K6CDQ-XHDWX-66PKG,12345-03308-149-093740-00-1033-20348.0000-0062023,1,Win 10 RTM Professional Retail,Professional,4DE7CB65-CDF1-4DE9-8AE8-E3CCE27B9F2C,,-1,NULL,0,0x000000000000F95B
J6NPR-QG46J-HDVWD-6J67W-2GYP6,12345-03308-149-251963-00-1033-20348.0000-0062023,1,Win 10 RTM Professional Retail,Professional,4DE7CB65-CDF1-4DE9-8AE8-E3CCE27B9F2C,,-1,NULL,0,0x000000000001069D
9N4WH-YGDTJ-B6WP4-6MTKY-DPFC6,12345-03308-017-894654-00-1033-20348.0000-0062023,1,Win 10 RTM Professional Retail,Professional,4DE7CB65-CDF1-4DE9-8AE8-E3CCE27B9F2C,,-1,NULL,0,0x000000000000FD9B
