Product,Number of product keys
Win 10 2015 LTSB RTM EnterpriseS Volume:MAK,40
Win 7 Home PremiumN Retail,40
Win 7 Starter OEM:NONSLP,40
Win 10 RTM ProfessionalN OEM:DM,40
Win 8 RTM Professional;ProfessionalN;Enterprise;EnterpriseN Volume:MAK,40
Win 7 SP1 Professional Retail,40
Win 8.1 RTM ProfessionalN Retail,40
Win 8.1 RTM Professional Retail,40
Win 8.1 RTM CoreSingleLanguage OEM:DM,40
Win 10 RTM Enterprise OEM:NONSLP,40
Win 8.1 RTM Professional OEM:DM,40
Win 10 2015 LTSB RTM EnterpriseSN Volume:MAK,40
Win 8.1 RTM ProfessionalWMC Retail,40
Win 10 RTM Core OEM:DM,40
Win 10 RTM ProfessionalWorkstation Volume:MAK,40
Win 7 Home Premium OEM:COA,40
Win 10 RTM EnterpriseN Volume:MAK,40
Win 10 RTM Professional OEM:NONSLP,40
Win 8 RTM Professional;ProfessionalN Volume:MAK,40
Win 7 Professional OEM:NONSLP,40
Win 8.1 RTM Core OEM:DM,40
Win 8 RTM Core OEM:DM,40
Win 7 SP1 ProfessionalN Retail,40
Win 7 Ultimate Retail,40
Win 7 Professional Retail,40
Win 10 RTM Education Volume:MAK,40
Win Vista Ultimate Retail,40
Win 7 Home Basic Retail,40
Win 7 All Volume Editions Volume:MAK,40
Win 10 2016 LTSB RTM EnterpriseS Volume:MAK,40
Win 10 RTM ProfessionalEducation Volume:MAK,40
Win 10 2019 LTSC RTM EnterpriseS Volume:MAK,40
Win 8 RTM ProfessionalWMC Retail,40
Win 7 Home Premium OEM:NONSLP,40
Win 8.1 RTM Core Retail,40
Win 10 2016 LTSB RTM EnterpriseSN Volume:MAK,40
Win 8.1 RTM Professional OEM:NONSLP,40
Win 8.1 Embedded Industry RTM EmbeddedIndustry Retail,40
Thin PC Embedded Volume:MAK,40
Win 8.1 RTM Professional;ProfessionalN;Enterprise;EnterpriseN Volume:MAK,40
Win 7 ProfessionalN Retail,40
Win 10 RTM CoreCountrySpecific OEM:DM,40
Win 10 RTM Professional OEM:DM,40
Win 7 StarterN OEM:NONSLP,40
Win 10 RTM Enterprise Volume:MAK,40
Win 10 RTM CoreN OEM:DM,40
Win 10 RTM Professional Volume:MAK,40
Win 7 Professional OEM:COA,40
Win 7 SP1 Ultimate Retail,40
Win 8 RTM ProfessionalN Retail,40
Win 7 Home Premium Retail,40
Win 10 RTM CoreSingleLanguage OEM:DM,40
Win 10 RTM EducationN Retail,40
Win 10 RTM ProfessionalN Volume:MAK,40
Win 10 RTM ProfessionalWorkstation Retail,40
Win 10 RTM Core Retail,40
Win 10 RTM Education Retail,40
Win 8 RTM CoreSingleLanguage OEM:DM,40
Win 8 RTM Professional OEM:DM,40
Win 10 RTM ProfessionalN Retail,40
